training/bce,training/bsd,step,epoch,training/loss,validation/bce,validation/bsd,validation/loss
0.0031134365126490593,0.8959457278251648,2499,19,0.2709631323814392,,,
0.02005375362932682,0.9057862162590027,2549,19,0.28577351570129395,,,
0.02025057189166546,0.8204875588417053,2599,19,0.2603216767311096,,,
,,2619,19,,0.02638312056660652,0.7611236572265625,0.24680529534816742
0.019937986508011818,0.6838486194610596,2649,20,0.21911118924617767,,,
0.00494067557156086,0.9903160929679871,2699,20,0.3005533218383789,,,
0.013615522533655167,0.7571550607681274,2749,20,0.2366773933172226,,,
,,2750,20,,0.0240673515945673,0.7659505009651184,0.24663229286670685
0.07274465262889862,0.7596994638442993,2799,21,0.2788310945034027,,,
0.010896701365709305,0.7861615419387817,2849,21,0.24347616732120514,,,
,,2881,21,,0.02326628565788269,0.768782913684845,0.2469213306903839
0.07689550518989563,0.9167265892028809,2899,22,0.3288448452949524,,,
0.014496805146336555,0.6627700924873352,2949,22,0.2089788019657135,,,
0.01247450802475214,0.9572287201881409,2999,22,0.29590079188346863,,,
,,3012,22,,0.021418526768684387,0.7319089770317078,0.23456567525863647
0.02244500257074833,0.6689295768737793,3049,23,0.21639038622379303,,,
0.07281368225812912,0.816948413848877,3099,23,0.2960541248321533,,,
,,3143,23,,0.02554117888212204,0.7732874751091003,0.2498651146888733
0.003916887100785971,0.7525593042373657,3149,24,0.22850961983203888,,,
0.001786248292773962,0.8560326099395752,3199,24,0.25806018710136414,,,
0.009935202077031136,0.9188295006752014,3249,24,0.28260350227355957,,,
,,3274,24,,0.022364960983395576,0.7400996685028076,0.23768536746501923
0.032183509320020676,0.7167134284973145,3299,25,0.23754249513149261,,,
